,power
1245,-0.346
1246,-0.334
1247,-0.339
1248,-0.348
1249,-0.341
1250,-0.346
1251,-0.338
1252,-0.322
1253,-0.326
1254,-0.334
1255,-0.341
1256,-0.335
1257,-0.331
1258,-0.324
1259,-0.339
1260,-0.33
1261,-0.344
1262,-0.343
1263,-0.337
1264,-0.34
1265,-0.335
1266,-0.332
1267,-0.34
1268,-0.33
1269,-0.345
1270,-0.335
1271,-0.336
1272,-0.337
1273,-0.344
1274,-0.326
1275,-0.343
1276,-0.339
1277,-0.35
1278,-0.415
1279,-0.358
1280,0.604
1281,4.688
1282,11.379
1283,19.604
1284,28.108
1285,37.118
1286,45.174
1287,52.04
1288,57.802
1289,62.84
1290,67.352
1291,71.207
1292,74.665
1293,77.562
1294,80.917
1295,83.696
1296,85.603
1297,86.919
1298,86.861
1299,87.57
1300,89.458
1301,89.548
1302,88.799
1303,88.108
1304,83.203
1305,76.404
1306,83.763
1307,67.858
1308,78.526
1309,74.712
1310,70.414
1311,66.286
1312,61.533
1313,55.755
1314,48.606
1315,38.957
1316,32.208
1317,23.465
1318,15.732
1319,8.542
1320,3.876
1321,0.333
1322,-0.331
1323,-0.47
1324,-0.365
1325,-0.331
1326,-0.341
1327,-0.34
1328,-0.331
1329,-0.32
1330,-0.323
1331,-0.312
1332,-0.319
1333,-0.36
1334,-0.332
1335,-0.332
1336,-0.327
1337,-0.349
1338,-0.345
1339,-0.324
1340,-0.333
1341,-0.336
1342,-0.321
1343,-0.337
1344,-0.335
1345,-0.324
1346,-0.325
1347,-0.325
1348,-0.332
1349,-0.344
1350,-0.353
1351,-0.337
1352,-0.327
1353,-0.361
1354,-0.345
1355,-0.322
1356,-0.327
1357,-0.323
1358,-0.335
1359,-0.328
1360,-0.323
1361,-0.328
1362,-0.334
1363,-0.322
1364,-0.338
1365,-0.317
1366,-0.326
1367,-0.339
1368,-0.328
1369,-0.33
1370,-0.322
1371,-0.33
1372,-0.343
1373,-0.325
1374,-0.408
1375,-0.358
1376,0.625
1377,4.954
1378,11.315
1379,19.666
1380,28.226
1381,37.096
1382,45.335
1383,52.199
1384,57.818
1385,62.441
1386,66.647
1387,70.507
1388,73.059
1389,76.756
1390,79.59
1391,81.316
1392,83.267
1393,85.688
1394,87.612
1395,88.318
1396,88.032
1397,87.525
1398,86.607
1399,85.508
1400,83.724
1401,83.215
1402,80.732
1403,79.025
1404,75.836
1405,72.93
1406,70.495
1407,66.633
1408,62.855
1409,58.019
1410,52.869
1411,45.877
1412,35.572
1413,26.251
1414,16.683
1415,10.044
1416,4.658
1417,0.588
1418,-0.231
1419,-0.47
1420,-0.348
1421,-0.321
1422,-0.339
1423,-0.348
1424,-0.328
1425,-0.343
1426,-0.338
1427,-0.34
1428,-0.333
1429,-0.343
1430,-0.316
1431,-0.33
1432,-0.325
1433,-0.322
1434,-0.336
1435,-0.317
1436,-0.33
1437,-0.332
1438,-0.32
1439,-0.342
1440,-0.336
1441,-0.356
1442,-0.33
1443,-0.338
1444,-0.329
1445,-0.333
1446,-0.316
1447,-0.332
1448,-0.343
1449,-0.324
1450,-0.346
1451,-0.33
1452,-0.322
1453,-0.325
1454,-0.328
1455,-0.331
1456,-0.348
1457,-0.333
1458,-0.33
1459,-0.338
1460,-0.342
1461,-0.331
1462,-0.353
1463,-0.325
1464,-0.339
1465,-0.299
1466,-0.366
1467,-0.341
1468,-0.345
1469,-0.348
1470,-0.424
1471,-0.337
1472,0.827
1473,4.538
1474,11.238
1475,18.706
1476,26.845
1477,35.022
1478,43.037
1479,49.744
1480,55.817
1481,61.191
1482,65.973
1483,69.722
1484,73.433
1485,76.935
1486,79.862
1487,81.725
1488,82.927
1489,83.84
1490,84.148
1491,84.94
1492,85.093
1493,84.553
1494,84.312
1495,83.991
1496,83.054
1497,81.639
1498,79.565
1499,77.501
1500,74.991
1501,71.797
1502,68.205
1503,64.202
1504,59.668
1505,54.814
1506,48.779
1507,41.547
1508,33.504
1509,24.817
1510,16.976
1511,10.205
1512,4.768
1513,0.983
1514,-0.237
1515,-0.476
1516,-0.346
1517,-0.345
1518,-0.312
1519,-0.328
1520,-0.316
1521,-0.327
1522,-0.331
1523,-0.317
1524,-0.33
1525,-0.333
1526,-0.323
1527,-0.327
1528,-0.313
1529,-0.317
1530,-0.302
1531,-0.319
1532,-0.327
1533,-0.311
1534,-0.329
1535,-0.332
1536,-0.317
1537,-0.321
1538,-0.319
1539,-0.33
1540,-0.323
1541,-0.327
1542,-0.326
1543,-0.339
1544,-0.325
1545,-0.338
1546,-0.323
1547,-0.328
1548,-0.315
1549,-0.328
1550,-0.329
1551,-0.324
1552,-0.327
1553,-0.333
1554,-0.343
1555,-0.34
1556,-0.34
1557,-0.344
1558,-0.337
1559,-0.339
1560,-0.335
1561,-0.324
1562,-0.334
1563,-0.335
1564,-0.319
1565,-0.322
1566,-0.41
1567,-0.343
1568,0.871
1569,5.02
1570,11.829
1571,20.043
1572,28.617
1573,37.309
1574,45.577
1575,52.499
1576,58.594
1577,63.663
1578,68.354
1579,72.345
1580,75.846
1581,78.873
1582,81.32
1583,83.289
1584,84.678
1585,85.987
1586,86.716
1587,87.163
1588,87.558
1589,87.269
1590,86.757
1591,86.104
1592,84.734
1593,83.105
1594,80.97
1595,78.72
1596,75.99
1597,72.999
1598,69.019
1599,65.012
1600,60.836
1601,55.558
1602,49.89
1603,43.348
1604,34.276
1605,25.279
1606,17.07
1607,10.32
1608,4.958
1609,0.983
1610,-0.253
1611,-0.459
1612,-0.339
1613,-0.324
1614,-0.333
1615,-0.316
1616,-0.317
1617,-0.324
1618,-0.316
1619,-0.33
1620,-0.32
1621,-0.318
1622,-0.33
1623,-0.323
1624,-0.336
1625,-0.331
1626,-0.33
1627,-0.327
1628,-0.325
1629,-0.325
1630,-0.315
1631,-0.302
1632,-0.326
1633,-0.332
1634,-0.333
1635,-0.336
1636,-0.347
1637,-0.32
1638,-0.33
1639,-0.343
1640,-0.353
1641,-0.333
1642,-0.341
1643,-0.338
1644,-0.338
1645,-0.338
1646,-0.323
1647,-0.346
1648,-0.322
1649,-0.342
1650,-0.339
1651,-0.335
1652,-0.342
1653,-0.331
1654,-0.341
1655,-0.342
1656,-0.341
1657,-0.327
1658,-0.337
1659,-0.328
1660,-0.328
1661,-0.334
1662,-0.426
1663,-0.337
1664,0.874
1665,4.468
1666,10.82
1667,14.331
1668,23.237
1669,31.18
1670,38.443
1671,46.868
1672,55.221
1673,60.888
1674,65.962
1675,70.134
1676,74.575
1677,77.443
1678,80.113
1679,82.203
1680,83.84
1681,85.312
1682,86.431
1683,88.05
1684,88.171
1685,88.25
1686,87.855
1687,87.232
1688,86.043
1689,84.571
1690,82.614
1691,79.785
1692,76.878
1693,73.592
1694,69.875
1695,65.891
1696,61.088
1697,55.701
1698,49.901
1699,42.661
1700,34.422
1701,25.387
1702,17.245
1703,10.403
1704,4.964
1705,1.113
1706,-0.233
1707,-0.451
1708,-0.348
1709,-0.327
1710,-0.314
1711,-0.304
1712,-0.326
1713,-0.302
1714,-0.348
1715,-0.313
1716,-0.328
1717,-0.315
1718,-0.322
1719,-0.324
1720,-0.324
1721,-0.328
1722,-0.326
1723,-0.322
1724,-0.32
1725,-0.322
1726,-0.328
1727,-0.32
1728,-0.316
1729,-0.311
1730,-0.303
1731,-0.323
1732,-0.32
1733,-0.334
1734,-0.329
1735,-0.328
1736,-0.332
1737,-0.329
1738,-0.331
1739,-0.332
1740,-0.336
1741,-0.317
1742,-0.338
1743,-0.329
1744,-0.321
1745,-0.332
1746,-0.336
1747,-0.332
1748,-0.336
1749,-0.331
1750,-0.345
1751,-0.33
1752,-0.335
1753,-0.339
1754,-0.344
1755,-0.346
1756,-0.331
1757,-0.333
1758,-0.41
1759,-0.348
1760,1.316
1761,5.513
1762,8.266
1763,10.664
1764,12.789
1765,12.691
1766,15.762
1767,20.39
1768,27.619
1769,33.644
1770,55.116
1771,54.005
1772,68.163
1773,75.82
1774,79.484
1775,81.551
1776,83.658
1777,86.027
1778,87.45
1779,88.264
1780,88.619
1781,88.266
1782,87.281
1783,85.868
1784,83.984
1785,82.638
1786,80.411
1787,78.318
1788,76.43
1789,73.805
1790,70.194
1791,66.967
1792,62.567
1793,56.831
1794,50.572
1795,43.4
1796,34.48
1797,26.148
1798,18.132
1799,11.12
1800,5.583
1801,1.216
1802,-0.194
1803,-0.467
1804,-0.355
1805,-0.329
1806,-0.345
1807,-0.328
1808,-0.326
1809,-0.336
1810,-0.319
1811,-0.319
1812,-0.313
1813,-0.318
1814,-0.321
1815,-0.324
1816,-0.329
1817,-0.341
1818,-0.318
1819,-0.316
1820,-0.321
1821,-0.333
1822,-0.336
1823,-0.32
1824,-0.324
1825,-0.312
1826,-0.319
1827,-0.318
1828,-0.323
1829,-0.314
1830,-0.314
1831,-0.315
1832,-0.308
1833,-0.324
1834,-0.318
1835,-0.313
1836,-0.309
1837,-0.319
1838,-0.321
1839,-0.329
1840,-0.332
1841,-0.336
1842,-0.315
1843,-0.333
1844,-0.321
1845,-0.324
1846,-0.345
1847,-0.336
1848,-0.327
1849,-0.337
1850,-0.346
1851,-0.346
1852,-0.338
1853,-0.34
1854,-0.409
1855,-0.335
1856,1.001
1857,5.736
1858,12.995
1859,21.541
1860,30.402
1861,38.908
1862,46.498
1863,53.32
1864,58.346
1865,64.374
1866,68.713
1867,73.023
1868,76.145
1869,79.019
1870,79.599
1871,80.593
1872,83.022
1873,85.211
1874,86.312
1875,87.846
1876,87.21
1877,87.666
1878,87.806
1879,88.155
1880,87.698
1881,86.001
1882,84.085
1883,81.865
1884,79.367
1885,76.904
1886,73.301
1887,69.199
1888,63.932
1889,58.027
1890,51.132
1891,43.828
1892,35.204
1893,26.117
1894,17.728
1895,10.887
1896,5.456
1897,1.032
1898,-0.159
1899,-0.469
1900,-0.342
1901,-0.317
1902,-0.332
1903,-0.332
1904,-0.329
1905,-0.312
1906,-0.322
1907,-0.308
1908,-0.324
1909,-0.331
1910,-0.314
1911,-0.307
1912,-0.326
1913,-0.331
1914,-0.317
1915,-0.328
1916,-0.327
1917,-0.327
1918,-0.322
1919,-0.316
1920,-0.314
1921,-0.328
1922,-0.322
1923,-0.334
1924,-0.328
1925,-0.334
1926,-0.329
1927,-0.325
1928,-0.338
1929,-0.337
1930,-0.328
1931,-0.3
1932,-0.347
1933,-0.333
1934,-0.331
1935,-0.342
1936,-0.337
1937,-0.334
1938,-0.346
1939,-0.331
1940,-0.334
1941,-0.332
1942,-0.34
1943,-0.335
1944,-0.338
1945,-0.344
1946,-0.341
1947,-0.337
1948,-0.356
1949,-0.35
1950,-0.408
1951,-0.312
1952,0.979
1953,5.067
1954,11.854
1955,19.993
1956,28.644
1957,37.401
1958,45.023
1959,51.573
1960,57.495
1961,62.718
1962,67.317
1963,71.447
1964,74.67
1965,77.388
1966,79.837
1967,81.799
1968,83.262
1969,84.024
1970,84.933
1971,85.962
1972,86.447
1973,86.707
1974,86.066
1975,85.29
1976,84.007
1977,82.199
1978,80.014
